var,descricao,descritor,nivel,peso
util_cont_educ_site_pub,"UTILIZAR†O†CONTE˙DO†EDUCACIONAL†DE†SITES†P˙BLICOS†COMO:†DOMÌNIO†P˙BLICO,†TV†ESCOLA,†PORTAL†DO†PROFESSOR,†BANCO†INTERNACIONAL†DE†OBJETOS†EDUCACIONAIS.",PEDAGOGIA,1,0.9
util_ped_prof_facebook,"UTILIZAR†PEDAGOGICAMENTE/PROFISSIONALMENTE,†A†REDE†SOCIAL†FACEBOOK.",PEDAGOGIA,2,0.8
util_notebook_ativ_diaria,UTILIZAR†SEU†NOTEBOOK†NA†REALIZAÁ„O†DE†SUAS†ATIVIDADES†DI·RIAS.,PEDAGOGIA,1,0.4
util_min_3_tec,"UTILIZAR,†NO†MÌNIMO,†3†DESSAS†TECNOLOGIAS†(PROJETOR†PROINFO,†LOUSA†DIGITAL,†TABLET,†CD/DVD,†C‚MERA†DIGITAL,†WEBCAM,†CELULAR)†PARA†MEDIAR†O†ACESSO†‡†INFORMAÁ„O†EM†EM†SEU†TRABALHO.",PEDAGOGIA,3,0.6
criar_past_sub_doc_comp,"CRIAR†PASTAS†E†SUBPASTAS,†ORGANIZANDO†DOCUMENTOS†E†ARQUIVOS†LOCALIZANDO-OS†FACILMENTE†NO††COMPUTADOR.",TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,1,0.3
criar_email,CRIAR†UMA†CONTA†DE†E-MAIL,TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,1,0.7
des_ativ_tuto_criar_blog,DESENVOLVER†ATIVIDADES†UTILIZANDO†INFORMAÁıES†DE†TUTORIAIS†PARA†CRIAÁ„O†DE†UM†BLOG,TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,2,0.2
des_ativ_prog_edicao,"DESENVOLVER†UMA†ATIVIDADE†UTILIZANDO†UM††DESTES†PROGRAMA†DE†EDIÁ„O†(MOVIE†MAKER,†GIMP,†CORELDRAW,†INKSCAPE).",TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,3,0.9
texto_edicao_basica_formatar,"DIGITAR†TEXTOS†REALIZANDO†TAREFAS†B·SICAS†DE†FORMATAÁ„O†(EX:†ALTERAR†TAMANHO†E†COR†DA†FONTE,†CENTRALIZAR†E†JUSTIFICAR)†EM†UM†PROCESSADOR†DE†TEXTOS.††",TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,1,0.3
enviar_email_anexo,ENVIAR†E-MAIL†COM†ARQUIVOS†ANEXOS†,TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,1,0.5
slide_som_anima_trans,"INSERIR†SONS,†ANIMA«’ES†E†TRANSIÁıES†DE†SLIDES††EM†UMA†FERRAMENTA†DE†APRESENTA«√O††TAIS†COMO†POWERPOINT,†IMPRESS,†ETC.",TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,2,0.1
slide_texto_imagem,"INSERIR†TEXTOS†E†IMAGENS††EM†UMA†FERRAMENTA†DE†APRESENTAÁ„O††TAIS†COMO†POWERPOINT,†IMPRESS,†ETC.",TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,1,0.4
ligar_deslig_comp_seg,LIGAR†E†DESLIGAR†UM†COMPUTADOR†DE†MANEIRA†SEGURA.,TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,1,0.1
oper_basic_planilha_elet,"REALIZAR†OPERAÁıES†B·SICAS†(SOMA,†SUBTRAÁ„O,†MULTIPLICAÁ„O,†DIVIS„O)†EM†UMA†PLANILHA†ELETRONICA†",TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,2,0.1
oper_basic_projetor_proinfo,"REALIZAR†OPERAÁıES†B·SICAS†NO†PROJETOR†PROINFO†E/OU†DATA†SHOW††COMO†LIGAR,†DESLIGAR,†CONFIGURAR†PARA†PROJETAR†CORRETAMENTE†A†IMAGEM†E†O†SOM,†COLOCAR†CABOS,†ACESSAR†INTERNET,†UTILIZAR†OS†RECURSOS†DE†INTERFACE†E†APLICATIVOS†LIVRES.",TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,2,0.2
pesquisa_internet,REALIZAR†PESQUISAS†PELA†INTERNET†††,TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,2,0.2
upload_slideshare_embed_blog,REALIZAR†UPLOAD†DE†UMA†APRESENTAÁ„O†NO†SLIDESHARE†E†PUBLICAR†O†EMBED††EM†UM†BLOG.,TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,2,0.7
editor_texto_graf_imagens,"TRABALHAR†COM†ELEMENTOS†GR·FICOS†E†ESTILOS†ESPECIAIS†COMO:†INSERIR†IMAGENS,†CLIPART,†GR·FICOS,†WORDART†EM†UM†PROCESSADOR†DE†TEXTOS.††",TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,2,0.2
formula_func_planilha_elec,TRABALHAR†COM†FUN«’ES†E†F”RMULAS†EM†UMA†PLANILHA†ELETR‘NICA†,TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,2,0.3
interagir_skype_gtalk,USAR†AS†TIC†PARA†INTERAGIR†COM†OUTROS†ATRAVÈS†DO†SKYPE†E/OU†GOOGLE†TALK,TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,2,0.2
util_wiki_texto,UTILIZAR††UMA†WIKI†PARA†DESENVOLVER†UM†TEXTO†COLABORATIVO.,TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,3,0.8
util_so_linux,UTILIZAR†O†SISTEMA†OPERACIONAL†LINUX,TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,1,0.7
util_so_windows,UTILIZAR†O†SISTEMA†OPERACIONAL†WINDOWS,TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,1,0.7
util_pendrive,"UTILIZAR†UM†PENDRIVE†PARA†ARMAZENAR†E†ACESSAR†INFORMAÁıES,†REMOVÍ-LO†ADEQUADAMENTE.",TECNOLOGIA DE INFORMA«√O E COMUNICA«√O,1,0.2
,,,,
desc_regional,Nome da Regional,,,
desc_cidade,Nome da Cidade,,,
desc_unidade,Nome da Escola ou Entidade,,,
nivel1,Soma do peso das questıes positivas da Abordagem 1,,,
nivel2,Soma do peso das questıes positivas da Abordagem 2,,,
nivel3,Soma do peso das questıes positivas da Abordagem 3,,,
nota_nivel1,Nota percentual de acertos da Abordagem 1,,,
nota_nivel2,Nota percentual de acertos da Abordagem 2,,,
nota_nivel3,Nota percentual de acertos da Abordagem 3,,,
aval_nivel1,"ClassificaÁ„o da Abordagem 1: basico, medio e avancado",,,
aval_nivel2,"ClassificaÁ„o da Abordagem 2: basico, medio e avancado",,,
aval_nivel3,"ClassificaÁ„o da Abordagem 3: basico, medio e avancado",,,
